Material,Aggregate Percent,Refuse Percent,MGP Percent,Paper Percent,Organic Percent,Material Group,DSNY Diversion Summary Category,Location
Newspaper,0.019,0.011,0.005,0.098,0,Paper,Designated Paper,Citywide
Plain OCC/Kraft Paper,0.056,0.012,0.01,0.464,0.002,Paper,Designated Paper,Citywide
Paper Bags: Kraft Grocery,0.002,0.001,0,0.008,0,Paper,Designated Paper,Citywide
Paper Bags: Non-food Retail,0.002,0.002,0,0.008,0,Paper,Designated Paper,Citywide
Paper Bags: Fast Food Bags,0.001,0.002,0,0.001,0,Paper,Designated Paper,Citywide
Paper Bags: Compostable/Soiled,0.003,0.003,0,0.002,0.002,Paper,Organics Suitable for Composting,Citywide
High Grade Paper,0.007,0.005,0.001,0.026,0,Paper,Designated Paper,Citywide
Mixed Low Grade Paper,0.081,0.063,0.023,0.288,0.008,Paper,Designated Paper,Citywide
Compostable/Soiled Paper/Waxed OCC/Kraft,0.078,0.094,0.006,0.011,0.017,Paper,Organics Suitable for Composting,Citywide
Compostable/School Plates/Trays,0.001,0.001,0,0,0.001,Paper,Organics Suitable for Composting,Citywide
Compostable/School Paper Boats,0,0,0,0.001,0,Paper,Organics Suitable for Composting,Citywide
Other Non-recyclable Paper,0.008,0.008,0.007,0.005,0.004,Paper,Other,Citywide
Beverage Cartons & Aseptic Boxes,0.004,0.003,0.014,0.003,0,Paper,Designated MGP,Citywide
Shredded Paper,0.003,0.002,0,0.018,0.001,Paper,Designated Paper,Citywide
Drinking Cups - Paper and Plastic: Paper - Compostable,0,0,0,0,0,Paper,Organics Suitable for Composting,Citywide
Drinking Cups - Paper and Plastic: Paper - Non-Compostable,0.003,0.003,0.001,0.001,0,Paper,Other,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #1 PET All,0.001,0.001,0.001,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #5 PP Rigid,0.001,0.001,0.002,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #6 PS Rigid,0.001,0.001,0.001,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: Compostable,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Single Use: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Durable: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Citywide
Drinking Cups - Paper and Plastic: Plastic - Durable: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Citywide
